날짜,동아쏘시오홀딩스,세아베스틸지주,오리온홀딩스,아모레퍼시픽홀딩스,현대지에프홀딩스,영원무역홀딩스,삼성물산,KT,LG유플러스,강원랜드,KOSPI
2022-08-26,103457,18050,14850,34850,5131,52000,122500,38050,12050,26500,2481.03
2022-08-29,101028,19150,14800,33850,5045,51100,119000,38000,11700,26300,2426.89
2022-08-30,102971,19450,14850,34500,4992,51600,119500,37900,11750,26700,2450.93
2022-08-31,105400,18650,14600,34900,5071,52900,120500,37200,11500,26550,2472.05
2022-09-01,102000,18900,14150,34500,4973,51300,117000,36650,11200,26350,2415.61
2022-09-02,103457,20000,14100,33800,4926,52200,116000,36650,11350,26050,2409.41
2022-09-05,103457,21750,14100,33850,4926,52000,115000,36950,11350,26150,2403.68
2022-09-06,103457,22050,14200,33950,4959,52200,115500,37100,11150,26050,2410.02
2022-09-07,101028,21100,13900,33200,4821,52300,114000,36350,11200,25750,2376.46
2022-09-08,97628,19650,14200,33450,4847,52600,116000,37450,11200,25550,2384.28
2022-09-13,101028,19700,14550,34150,4946,53000,117500,37050,11350,26000,2449.54
2022-09-14,99085,18950,14400,33550,4880,52400,115000,36400,11250,25400,2411.42
2022-09-15,101028,20300,14200,33300,4847,53900,114500,35950,11250,25400,2401.83
2022-09-16,99085,19350,14550,33800,4828,53600,113000,35900,11450,25350,2382.78
2022-09-19,99571,18850,14550,33050,4617,54600,112000,35700,11300,25250,2355.66
2022-09-20,99085,18650,14600,33250,4722,55700,113500,36350,11450,25950,2367.85
2022-09-21,100542,18750,14650,33250,4650,55100,112500,36550,11550,25750,2347.21
2022-09-22,98600,19750,14850,32050,4591,54600,111500,36100,11250,26350,2332.31
2022-09-23,96560,20050,14450,30100,4465,53100,108500,36350,11350,25700,2290.0
2022-09-26,95880,18700,14200,29100,4340,50800,105500,36800,11150,24650,2220.94
2022-09-27,95200,18450,15050,29700,4386,52600,107000,36500,11150,25300,2223.86
