,vol_annual,beta,max_drawdown
세아베스틸지주,0.4928148485218949,0.7524528271326777,-0.48415672913117547
아모레퍼시픽홀딩스,0.45184117415768615,0.7743819434611356,-0.5755605381165919
현대지에프홀딩스,0.3494195912695866,0.6873505308172044,-0.40248471701833954
영원무역홀딩스,0.3192834089394371,0.5039251826228136,-0.24563106796116507
삼성물산,0.3120627982084779,0.9580145031323626,-0.3659250585480094
동아쏘시오홀딩스,0.27860246650185394,0.3004417747625908,-0.27926944971537004
오리온홀딩스,0.25628694599140206,0.41262750527099945,-0.23320312499999996
KT,0.2400597728770764,0.3664472342178999,-0.23684210526315785
강원랜드,0.2326548870217476,0.5238828104412263,-0.4887640449438202
LG유플러스,0.18613376683396943,0.3239943160056885,-0.217283950617284
