,동아쏘시오홀딩스,세아베스틸지주,오리온홀딩스,아모레퍼시픽홀딩스,현대지에프홀딩스,영원무역홀딩스,삼성물산,KT,LG유플러스,강원랜드
동아쏘시오홀딩스,1.0,0.11701527366736861,0.1740548299365772,0.18639872237128058,0.2622050820088836,0.1512357423918092,0.16024447622262936,0.09220945427671862,0.17083273771753493,0.20754869967491021
세아베스틸지주,0.11701527366736861,1.0,0.13596701380059426,0.13768573972593628,0.18602624918026886,0.19043262787297838,0.15414675234910763,0.1002938110972094,0.1443384350906833,0.2408455627865073
오리온홀딩스,0.1740548299365772,0.13596701380059426,1.0,0.24348605683091532,0.40001713884139306,0.3433702969550841,0.25581359397705833,0.24686706292620456,0.2698457153716755,0.29078368216316247
아모레퍼시픽홀딩스,0.18639872237128058,0.13768573972593628,0.24348605683091532,1.0,0.27813082751013124,0.14703876042226427,0.19833372449220826,0.12025922621965666,0.18674400603752203,0.35957082460675877
현대지에프홀딩스,0.2622050820088836,0.18602624918026886,0.40001713884139306,0.27813082751013124,1.0,0.32045727384841205,0.3656861830556847,0.245739350390234,0.24193535027523744,0.35931871957251443
영원무역홀딩스,0.1512357423918092,0.19043262787297838,0.3433702969550841,0.14703876042226427,0.32045727384841205,1.0,0.32783102441712136,0.17401373067110554,0.16354030295283872,0.1943446546286842
삼성물산,0.16024447622262936,0.15414675234910763,0.25581359397705833,0.19833372449220826,0.3656861830556847,0.32783102441712136,1.0,0.2737881237171,0.22407121543394248,0.28868293025208214
KT,0.09220945427671862,0.1002938110972094,0.24686706292620456,0.12025922621965666,0.245739350390234,0.17401373067110554,0.2737881237171,1.0,0.45234602065632834,0.28313459686211095
LG유플러스,0.17083273771753493,0.1443384350906833,0.2698457153716755,0.18674400603752203,0.24193535027523744,0.16354030295283872,0.22407121543394248,0.45234602065632834,1.0,0.3125550611334307
강원랜드,0.20754869967491021,0.2408455627865073,0.29078368216316247,0.35957082460675877,0.35931871957251443,0.1943446546286842,0.28868293025208214,0.28313459686211095,0.3125550611334307,1.0
