,last_price,buy_price,shares,cost,value,pnl,pnl_pct,weight
영원무역홀딩스,136600.0,130600,8,1044800,1092800.0,48000.0,4.594180704441041,0.2169045842132842
삼성물산,183000.0,162600,3,487800,549000.0,61200.0,12.546125461254611,0.1089683535258904
동아쏘시오홀딩스,108100.0,111060,5,555300,540500.0,-14800.0,-2.6652260039618225,0.10728122965527097
강원랜드,18010.0,18670,30,560100,540300.0,-19800.0,-3.535083020889127,0.10724153262302111
LG유플러스,15160.0,14710,31,456010,469960.0,13950.0,3.059143439836846,0.09328008638074217
세아베스틸지주,26700.0,29050,16,464800,427200.0,-37600.0,-8.089500860585199,0.08479286088572019
KT,51300.0,54400,8,435200,410400.0,-24800.0,-5.698529411764706,0.08145831017673119
오리온홀딩스,21500.0,20600,18,370800,387000.0,16200.0,4.368932038834951,0.07681375740349651
현대지에프홀딩스,8300.0,8200,45,369000,373500.0,4500.0,1.2195121951219512,0.07413420772663036
아모레퍼시픽홀딩스,27500.0,28400,9,255600,247500.0,-8100.0,-3.169014084507042,0.04912507740921289
