name,code,n_obs,start_date,end_date,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,nw_term,scale_10d
KT,030200,241,2024-09-19,2025-09-15,-0.0801122618161517,-0.02828382109483571,0.020452323830433716,0.04820201750223331,-0.04300063437457275,-0.049813354136175374,0.014071361861145257,-0.07376840961669898,-0.019875040066558956,0.7891286169176598,2.80914331588415
LG디스플레이,034220,241,2024-09-19,2025-09-15,-0.20595865726254034,0.01078410662493625,-0.1174126544972244,0.04867349821798735,0.03787582110401258,-0.028646102837967712,0.0404405123296363,-0.05235316337597902,0.05274611734636289,0.569390673443097,2.3861908419971294
LG유플러스,032640,241,2024-09-19,2025-09-15,0.01481716765381043,-0.044597318498161335,0.186334081609522,0.03356785764852648,0.048369606113002325,0.09666222679004399,-0.1966163807690163,0.028966391084953455,-0.03361091063946323,1.2690582690010799,3.5623844107578844
강원랜드,035250,241,2024-09-19,2025-09-15,-0.021954914123028076,0.10733837230151425,0.07418571620838399,0.018777666240140805,-0.0407419238493692,-0.13012836025358013,0.03047156919949604,0.018991016898714144,-0.013200374662155024,1.1370104137353978,3.3719585017247735
동아쏘시오홀딩스,000640,241,2024-09-19,2025-09-15,-0.03582598949764616,0.08878259814477875,-0.10453570210024017,0.04512477695664153,0.04632179242404867,-0.009857825798587178,-0.05701424766371863,-0.10559599976503206,0.05657755363677935,0.9586692193518073,3.0962383941676834
삼성물산,028260,241,2024-09-19,2025-09-15,-0.03163899932441258,-0.036325827428277245,0.06897417403231268,0.007679692621995196,-0.0025349034601554847,0.0665639921495915,0.08227506066165922,-0.0044365517644288635,-0.02905761048576645,1.083203135976034,3.291205153095191
세아베스틸지주,001430,241,2024-09-19,2025-09-15,0.04847552340636318,0.0739971521639154,-0.034510296576746334,-0.13077104277518656,0.16698534787385957,0.003606364127258654,0.1412531272051451,0.03978100087333349,-0.08843362690418602,1.2532597095232996,3.54014082985875
아모레퍼시픽홀딩스,002790,241,2024-09-19,2025-09-15,0.028506322395301993,0.008698022733279957,-0.026268503995925122,-0.03067235069320889,-0.011825652357180335,0.03381094523016746,0.0783158556820221,0.05957772546015116,0.04736489645289049,1.0871621769694513,3.297214243826827
영원무역홀딩스,009970,241,2024-09-19,2025-09-15,-0.1966058603301724,0.038847945363595385,0.011097879378272509,0.03513387861686677,0.06020581495405453,-0.04690830250177732,0.14085937132668602,-0.0002473648928535082,-0.07930142008799514,0.8571994152311677,2.9277968085766606
오리온홀딩스,001800,241,2024-09-19,2025-09-15,-0.13674828195735966,0.14277505780740987,0.010707188674031906,-0.03317350141283624,0.047330647649038216,0.018543026702883464,0.03455062463452004,-0.07472329592019714,-0.04234576134339048,1.0020120205721497,3.1654573454275923
현대지에프홀딩스,005440,241,2024-09-19,2025-09-15,0.07229361942987035,0.03683711995793326,-0.01868183509487683,0.04668223372980142,-0.03173975706063951,0.03899356653962076,0.013857314739785537,0.06980061249729176,0.03889920580866516,1.262401589424972,3.553029115311289
