,동아쏘시오홀딩스,세아베스틸지주,오리온홀딩스,아모레퍼시픽홀딩스,현대지에프홀딩스,영원무역홀딩스,삼성물산,KT,LG유플러스,강원랜드,LG디스플레이
동아쏘시오홀딩스,1.0,0.1105,0.2781,0.2176,0.3261,0.1996,0.1459,0.0067,0.0408,0.1689,0.2121
세아베스틸지주,0.1105,1.0,0.1739,0.221,0.2462,0.2189,0.108,0.0262,0.0712,0.2378,0.1887
오리온홀딩스,0.2781,0.1739,1.0,0.3491,0.4726,0.3668,0.3068,0.1642,0.2365,0.1991,0.1589
아모레퍼시픽홀딩스,0.2176,0.221,0.3491,1.0,0.2777,0.2515,0.4185,0.1094,0.074,0.2529,0.2734
현대지에프홀딩스,0.3261,0.2462,0.4726,0.2777,1.0,0.3867,0.4139,0.1672,0.1603,0.3057,0.1722
영원무역홀딩스,0.1996,0.2189,0.3668,0.2515,0.3867,1.0,0.3051,0.1957,0.1423,0.1361,0.1659
삼성물산,0.1459,0.108,0.3068,0.4185,0.4139,0.3051,1.0,0.1585,0.1375,0.2035,0.2558
KT,0.0067,0.0262,0.1642,0.1094,0.1672,0.1957,0.1585,1.0,0.4035,0.1623,0.033
LG유플러스,0.0408,0.0712,0.2365,0.074,0.1603,0.1423,0.1375,0.4035,1.0,0.1959,0.0996
강원랜드,0.1689,0.2378,0.1991,0.2529,0.3057,0.1361,0.2035,0.1623,0.1959,1.0,0.3092
LG디스플레이,0.2121,0.1887,0.1589,0.2734,0.1722,0.1659,0.2558,0.033,0.0996,0.3092,1.0
