name,code,n,period,ewma_sigma_daily,error
KT,030200,242,2024-09-19 ~ 2025-09-16,0.013497557886398254,
LG디스플레이,034220,242,2024-09-19 ~ 2025-09-16,0.04061963152310325,
LG유플러스,032640,242,2024-09-19 ~ 2025-09-16,0.01894615745594647,
강원랜드,035250,242,2024-09-19 ~ 2025-09-16,0.009423699031341591,
동아쏘시오홀딩스,000640,242,2024-09-19 ~ 2025-09-16,0.019902599215998018,
삼성물산,028260,242,2024-09-19 ~ 2025-09-16,0.024006519823927354,
세아베스틸지주,001430,242,2024-09-19 ~ 2025-09-16,0.02012415952594109,
아모레퍼시픽홀딩스,002790,242,2024-09-19 ~ 2025-09-16,0.01587229670966643,
영원무역홀딩스,009970,242,2024-09-19 ~ 2025-09-16,0.02323407355761993,
오리온홀딩스,001800,242,2024-09-19 ~ 2025-09-16,0.017960912241432432,
현대지에프홀딩스,005440,242,2024-09-19 ~ 2025-09-16,0.035808353151896254,
