date,close,volume,change
2015-09-15,144742,15325,
2015-09-16,147171,11753,0.016642328793167207
2015-09-17,148142,11956,0.0065760972205296505
2015-09-18,154942,19974,0.04487958010643405
2015-09-21,153971,8973,-0.006286580350538621
2015-09-22,151542,20024,-0.01590145874075365
2015-09-23,148142,7147,-0.022691541015141897
2015-09-24,150085,4733,0.01303052703144558
2015-09-25,149114,19033,-0.006490686191708109
2015-09-30,141342,38921,-0.05352862863776282
2015-10-01,143285,16624,0.013653168410807104
2015-10-02,144742,18961,0.010117193373521344
2015-10-05,147657,23039,0.019939169257443358
2015-10-06,148142,12115,0.0032792567562538455
2015-10-07,141342,23417,-0.04698878779802534
2015-10-08,146200,12760,0.033793061877153766
2015-10-12,145714,15344,-0.003329750878910727
2015-10-13,144742,14042,-0.006692949213914585
2015-10-14,141342,11258,-0.02377036178432837
2015-10-15,140857,12529,-0.0034372940904996182
2015-10-16,145714,30668,0.033900605088742604
2015-10-19,146200,10721,0.0033297508789108207
2015-10-20,150085,15239,0.026226252952317366
2015-10-21,147657,8408,-0.016309783787699452
2015-10-22,147171,12102,-0.003296840464276033
2015-10-23,148142,14493,0.0065760972205296505
2015-10-26,147171,10130,-0.006576097220529708
2015-10-27,150571,23741,0.022839557726113315
2015-10-28,153971,25710,0.022329539250311843
2015-10-29,153000,20541,-0.006326351600009749
2015-10-30,157857,24183,0.031251638526319445
2015-11-02,155914,34644,-0.012384986732319995
2015-11-03,157857,29311,0.012384986732319955
2015-11-04,158828,31774,0.0061322957694460115
2015-11-05,159800,20177,0.00610117764397349
2015-11-06,161257,70702,0.009076332254196882
2015-11-09,153971,31384,-0.046235092593926004
2015-11-10,151542,32106,-0.01590145874075365
2015-11-11,149114,32572,-0.01615170017540438
2015-11-12,148142,31802,-0.00653984083973745
2015-11-13,143771,37719,-0.02994951727222848
2015-11-16,143285,18068,-0.0033861021149897866
2015-11-17,148142,34902,0.033335619387218296
2015-11-18,153000,42042,0.03226664815588576
2015-11-19,155428,19766,0.015744680490792758
2015-11-20,156885,11010,0.009330450991113032
2015-11-23,158828,13237,0.012308802813859696
2015-11-24,159800,15881,0.00610117764397349
2015-11-25,160285,8672,0.0030304473572388274
2015-11-26,160771,14141,0.0030275115320436514
2015-11-27,162714,15948,0.012013066242619433
2015-11-30,158342,14573,-0.02723680775344559
2015-12-01,162714,20862,0.02723680775344562
2015-12-02,158828,19976,-0.02417220277587528
2015-12-03,161257,8298,0.015177509898170467
2015-12-04,161257,12567,0.0
2015-12-07,161742,20792,0.0030031075297689037
2015-12-08,159800,19455,-0.01207943978396586
2015-12-09,157857,17367,-0.012233473413419462
2015-12-10,158342,13358,0.003067690791875605
2015-12-11,156885,14748,-0.00924419783628926
2015-12-14,152028,29663,-0.031448338466424725
2015-12-15,152028,11780,0.0
2015-12-16,153485,13628,0.009538127974731038
2015-12-17,159314,14403,0.037274255166403536
2015-12-18,159314,12836,0.0
2015-12-21,161257,10666,0.012122268037320213
2015-12-22,159314,6373,-0.012122268037320177
2015-12-23,161257,10871,0.012122268037320213
2015-12-24,158828,9518,-0.015177509898170386
2015-12-28,155428,20294,-0.02163925380497271
2015-12-29,159314,18728,0.024694495665822984
2015-12-30,164657,19403,0.03298742479414669
2016-01-04,164171,13428,-0.002955954808444138
2016-01-05,167085,25082,0.017594097430509235
2016-01-06,187971,114212,0.11778503064696204
2016-01-07,193314,89545,0.02802811425979714
2016-01-08,202057,61137,0.044234025942219125
2016-01-11,192342,56531,-0.04927479833087331
2016-01-12,185542,34225,-0.03599376596956742
2016-01-13,191857,49927,0.03346903135220869
2016-01-14,185057,37388,-0.036086417135131804
2016-01-15,187485,49100,0.01303495647941776
2016-01-18,185542,39950,-0.010417570696494502
2016-01-19,189428,32696,0.020727733580892513
2016-01-20,184571,102870,-0.025974791791578834
2016-01-21,190885,50089,0.03363693917115133
2016-01-22,197200,39335,0.03254728969426972
2016-01-25,202542,38007,0.026728830279523573
2016-01-26,205457,36095,0.014289493851193706
2016-01-27,203514,30446,-0.00950196771414746
2016-01-28,204971,19533,0.007133707131776748
2016-01-29,207885,25065,0.01411653647199399
2016-02-01,209828,28625,0.009303105306782248
2016-02-02,203514,30182,-0.030553348910552922
2016-02-03,207885,14044,0.02125024360377068
2016-02-04,200600,34400,-0.035672166661040325
2016-02-05,202057,17232,0.007236960286405827
2016-02-11,193314,23378,-0.0442340259422191
2016-02-12,179228,55946,-0.07565707153695173
2016-02-15,178742,33503,-0.002715313007254376
2016-02-16,185057,41180,0.034720460403061294
2016-02-17,184085,23741,-0.005266278269216742
2016-02-18,202057,42683,0.09315222835258063
2016-02-19,199142,21647,-0.014531697719036799
2016-02-22,213714,88481,0.07062053448461557
2016-02-23,218085,54858,0.02024622247167876
2016-02-24,206428,46700,-0.05493321173020077
2016-02-25,227314,66081,0.09638063824933982
2016-02-26,232657,68031,0.023232944382576247
2016-02-29,231685,54483,-0.004186575497026539
2016-03-02,223914,49106,-0.03411664089201922
2016-03-03,221000,40730,-0.013099348046415205
2016-03-04,214685,40172,-0.028990864001491423
2016-03-07,208371,72558,-0.029851692790319802
2016-03-08,206914,30244,-0.007016896724745826
2016-03-09,210800,39336,0.01860656866601163
2016-03-10,213228,27809,0.011452199083730819
2016-03-11,210800,13124,-0.01145219908373091
2016-03-14,209342,17567,-0.00694053845024205
2016-03-15,209828,53003,0.0023188692786924327
2016-03-16,216142,45596,0.029647451598325533
2016-03-17,213714,24925,-0.01129692651416333
2016-03-18,211285,25222,-0.011430739592657753
2016-03-21,202542,29289,-0.042260660539103614
2016-03-22,199142,31141,-0.01692913435285425
