date,close,volume,change
2015-09-15,45144,6325,
2015-09-16,44702,22259,-0.00983913731893532
2015-09-17,45193,14728,0.010923964240472836
2015-09-18,45979,13701,0.017242562923813157
2015-09-21,46421,9063,0.009567172540670384
2015-09-22,46372,14402,-0.0010561142447050496
2015-09-23,45389,5667,-0.021426043866896945
2015-09-24,45242,6851,-0.0032439260056142194
2015-09-25,45635,11515,0.008649107033196775
2015-09-30,46274,17625,0.013905282316649704
2015-10-01,48582,15211,0.04867284364654199
2015-10-02,49221,13964,0.013067269768822729
2015-10-05,50154,17417,0.01877791024421891
2015-10-06,52267,20051,0.04126692483380756
2015-10-07,49319,14190,-0.058055794438496726
2015-10-08,51088,14372,0.03524023363204116
2015-10-12,48926,14967,-0.043240683451034066
2015-10-13,49811,7810,0.01792689065217556
2015-10-14,49074,5058,-0.014906480192675568
2015-10-15,49467,6154,0.007976417606048789
2015-10-16,48337,19246,-0.023108467642891893
2015-10-19,48828,10581,0.010106605863504262
2015-10-20,49221,11596,0.008016442893301803
2015-10-21,47747,14168,-0.03040412397295948
2015-10-22,47944,11199,0.004117425427988479
2015-10-23,48386,7751,0.009176852525711678
2015-10-26,48582,7532,0.004042576250436517
2015-10-27,47944,8858,-0.013219428776148213
2015-10-28,50007,14256,0.0421293324731766
2015-10-29,48533,10684,-0.029919016690038637
2015-10-30,47158,15109,-0.028740312990166102
2015-11-02,46568,10265,-0.012590055979421548
2015-11-03,48926,12873,0.04939534255195783
2015-11-04,48091,9066,-0.017213903104081784
2015-11-05,50596,16789,0.05077747236798508
2015-11-06,49418,7994,-0.023557791489310004
2015-11-09,50449,7897,0.020648194701631994
2015-11-10,49663,6957,-0.015702735948860097
2015-11-11,49663,9821,0.0
2015-11-12,50695,7248,0.02056709735578593
2015-11-13,50940,6122,0.0048211831467678224
2015-11-16,49909,16743,-0.02044712233543458
2015-11-17,53544,36211,0.07030239858246466
2015-11-18,51088,19136,-0.04695410982591493
2015-11-19,51432,6906,0.006710910866959416
2015-11-20,52021,11470,0.011386936371977917
2015-11-23,55018,13909,0.05601292120634263
2015-11-24,54232,9283,-0.014389264289041711
2015-11-25,53740,12258,-0.009113536941319292
2015-11-26,55754,11579,0.036791553457978944
2015-11-27,56393,15036,0.01139588068079689
2015-11-30,56049,27500,-0.0061187291803111304
2015-12-01,54084,25693,-0.03568791464929855
2015-12-02,55116,11090,0.018901661635145155
2015-12-03,55263,18885,0.0026635517065330284
2015-12-04,54182,7033,-0.019754856872142967
2015-12-07,55411,9813,0.022429380034244936
2015-12-08,56246,12466,0.014956797444611572
2015-12-09,55754,10810,-0.008785770799579307
2015-12-10,56835,11557,0.019203176493349614
2015-12-11,57965,11194,0.019687046983690948
2015-12-14,57425,9329,-0.009359631547202823
2015-12-15,55705,12076,-0.030409839063882067
2015-12-16,58014,14335,0.04061445121818563
2015-12-17,58653,7530,0.010954363956997249
2015-12-18,57768,7220,-0.015203735537582207
2015-12-21,58014,7206,0.004249371580585017
2015-12-22,58456,8807,0.007589973759451252
2015-12-23,57621,6311,-0.014387249898092109
2015-12-24,57326,7099,-0.00513281160302043
2015-12-28,57768,7747,0.007680716161076253
2015-12-29,58260,7380,0.008480762382408115
2015-12-30,57277,7725,-0.017016604552156006
2016-01-04,55951,10249,-0.023422839279937328
2016-01-05,58456,15460,0.043798026789721334
2016-01-06,58947,11814,0.00836440061425166
2016-01-07,56442,18308,-0.043425172885299
2016-01-08,56049,17675,-0.006987254072059286
2016-01-11,54232,16187,-0.03295516801714554
2016-01-12,54035,14760,-0.0036391553735355704
2016-01-13,55018,11323,0.018028419662577365
